No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Abdullah Al-Mayouf,23 January 1987 (aged 31),11,0,Al-Hilal
2,DF,Mansoor Al-Harbi,19 October 1987 (aged 30),40,1,Al-Ahli
3,DF,Osama Hawsawi (captain),31 March 1984 (aged 34),135,7,Al-Hilal
4,DF,Ali Al-Bulaihi,21 November 1989 (aged 28),4,0,Al-Hilal
5,DF,Omar Hawsawi,27 September 1985 (aged 32),42,3,Al-Nassr
6,DF,Mohammed Al-Breik,15 September 1992 (aged 25),11,1,Al-Hilal
7,MF,Salman Al-Faraj,1 August 1989 (aged 28),43,3,Al-Hilal
8,MF,Yahya Al-Shehri,26 June 1990 (aged 27),57,8,Leganés
9,MF,Hattan Bahebri,16 July 1992 (aged 25),5,0,Al-Shabab
10,FW,Mohammad Al-Sahlawi,10 January 1987 (aged 31),40,28,Al-Nassr
11,MF,Abdulmalek Al-Khaibri,13 March 1986 (aged 32),36,0,Al-Hilal
12,MF,Mohamed Kanno,22 September 1994 (aged 23),6,1,Al-Hilal
13,DF,Yasser Al-Shahrani,25 May 1992 (aged 26),37,0,Al-Hilal
14,MF,Abdullah Otayf,3 August 1992 (aged 25),16,1,Al-Hilal
15,MF,Abdullah Al-Khaibari,16 August 1996 (aged 21),5,0,Al-Shabab
16,MF,Housain Al-Mogahwi,24 March 1988 (aged 30),18,1,Al-Ahli
17,MF,Taisir Al-Jassim,25 July 1984 (aged 33),132,19,Al-Ahli
18,MF,Salem Al-Dawsari,19 August 1991 (aged 26),33,4,Villarreal
19,FW,Fahad Al-Muwallad,14 September 1994 (aged 23),45,10,Levante
20,FW,Muhannad Assiri,14 October 1986 (aged 31),18,4,Al-Ahli
21,GK,Yasser Al-Mosailem,27 February 1984 (aged 34),32,0,Al-Ahli
22,GK,Mohammed Al-Owais,10 October 1991 (aged 26),6,0,Al-Ahli
23,DF,Motaz Hawsawi,17 February 1992 (aged 26),17,0,Al-Ahli
